on,on,0,3051,24285,1088,30192,2869,3077,5415,3334,11983,953,4218,9171,7542,3396,2192,5866,2413,2213,5236,258,4328,4407,4371,1802,2785,3000,2919,1273,1302,1672,2346,1366,1377,792,2168,2056,1847,758,1548,1140,513,888,1126,722,365,569,659,496,56
have,have,3051,0,6342,8250,1726,18663,1357,1048,3154,745,10120,925,654,220,656,1043,266,512,427,192,4345,340,549,258,399,105,33,295,143,138,731,195,221,127,969,88,96,98,190,105,75,303,136,87,341,133,202,77,105,41
in,in,24285,6342,0,7150,3285,3443,1946,3692,799,4077,922,2320,3328,1032,2363,968,2085,1654,1178,2276,4140,278,2147,2502,1117,3128,1305,1165,1304,586,2533,814,806,2328,170,297,337,693,440,780,1341,406,1198,657,328,179,365,312,586,47
wear,wear,1088,8250,7150,0,96,3009,123,116,991,108,693,121,88,41,65,54,57,41,35,18,5296,48,243,65,51,44,14,24,11,24,630,21,36,21,257,1,19,9,10,25,26,22,35,10,6,57,11,2,37,23
of,of,30192,1726,3285,96,0,1292,889,762,427,5319,260,664,1090,8916,498,1154,142,910,442,2632,7,33,60,1870,326,39,23,1562,19,133,356,356,290,198,19,114,2078,1293,198,76,40,177,204,166,605,45,110,155,106,8
with,with,2869,18663,3443,3009,1292,0,1705,1439,3571,835,4929,1350,687,168,888,1376,375,700,473,170,1851,570,552,253,606,119,43,232,120,130,729,220,266,154,1120,74,57,67,226,137,85,374,123,59,362,435,240,67,101,57
behind,behind,3077,1357,1946,123,889,1705,0,5240,551,688,431,4126,742,315,3087,1523,447,2602,1535,585,15,201,233,354,1738,161,44,364,77,316,271,164,647,122,142,109,99,137,853,92,137,566,299,439,302,486,499,96,84,36
near,near,5415,1048,3692,116,762,1439,5240,0,526,1034,311,5881,1393,219,5333,1701,861,3289,1353,1422,20,261,550,657,2662,669,254,476,111,617,310,249,812,323,171,229,44,200,977,287,349,666,492,1010,408,395,694,190,188,37
hold,hold,3334,3154,799,991,427,3571,551,526,0,732,873,441,415,53,294,848,254,239,99,39,329,829,572,62,187,66,15,99,368,45,179,26,78,15,1925,12,14,8,76,98,53,109,38,8,246,300,55,15,36,58
on a,on a,11983,745,4077,108,5319,835,688,1034,732,0,161,745,3465,2331,683,612,1723,950,447,2235,21,959,1012,2617,370,209,270,2040,33,394,415,344,352,220,285,527,1040,1151,188,405,193,110,259,251,274,97,108,436,118,27
have a,have a,953,10120,922,693,260,4929,431,311,873,161,0,248,116,37,176,257,84,111,133,33,571,85,156,46,107,28,7,71,22,57,328,47,48,13,260,16,6,12,48,41,12,116,14,10,123,48,65,10,22,16
next to,next to,4218,925,2320,121,664,1350,4126,5881,441,745,248,0,1069,161,4243,1275,620,2531,1121,1156,15,239,300,433,2583,247,85,318,61,601,240,143,623,213,136,154,28,144,795,164,250,507,369,921,349,385,654,124,157,33
on top of,on top of,9171,654,3328,88,1090,687,742,1393,415,3465,116,1069,0,431,898,538,2231,661,726,991,12,528,1016,1664,438,379,377,745,82,276,303,632,498,349,224,295,165,370,180,751,338,149,299,267,190,128,131,316,146,22
of a,of a,7542,220,1032,41,8916,168,315,219,53,2331,37,161,431,0,147,345,22,488,109,889,6,5,10,936,70,7,1,1150,2,30,159,100,78,94,3,65,1782,673,87,7,10,61,111,64,144,9,34,107,47,8
by,by,3396,656,2363,65,498,888,3087,5333,294,683,176,4243,898,147,0,1063,500,2340,897,1130,13,166,340,478,2243,358,141,296,78,471,185,179,580,238,85,152,33,132,766,136,245,400,363,942,289,218,574,125,156,24
under,under,2192,1043,968,54,1154,1376,1523,1701,848,612,257,1275,538,345,1063,0,276,963,513,205,4,38,96,322,533,68,15,294,37,175,81,127,233,96,359,54,64,119,506,119,78,1043,123,81,409,55,178,64,76,11
sit on,sit on,5866,266,2085,57,142,375,447,861,254,1723,84,620,2231,22,500,276,0,339,296,137,6,595,1354,621,266,488,590,63,44,331,175,63,201,138,103,49,9,29,64,781,806,40,173,71,31,183,70,28,83,34
in front of,in front of,2413,512,1654,41,910,700,2602,3289,239,950,111,2531,661,488,2340,963,339,0,533,862,4,104,163,603,1196,122,38,635,52,266,249,113,304,111,51,169,250,604,588,73,163,377,379,253,303,159,387,136,137,11
above,above,2213,427,1178,35,442,473,1535,1353,99,447,133,1121,726,109,897,513,296,533,0,435,6,61,184,328,605,180,85,223,14,115,91,124,1542,131,38,78,25,175,239,151,105,246,142,207,228,42,215,71,84,22
on side of,on side of,5236,192,2276,18,2632,170,585,1422,39,2235,33,1156,991,889,1130,205,137,862,435,0,1,25,140,979,883,90,95,921,9,126,221,179,295,115,6,183,294,844,187,45,53,97,171,636,224,19,190,161,69,4
wear a,wear a,258,4345,4140,5296,7,1851,15,20,329,21,571,15,12,6,13,4,6,4,6,1,0,15,19,8,9,22,4,0,1,5,597,1,4,7,74,0,2,1,1,2,6,1,5,0,0,8,3,1,21,3
rid,rid,4328,340,278,48,33,570,201,261,829,959,85,239,528,5,166,38,595,104,61,25,15,0,473,82,111,56,17,12,2,24,35,0,34,22,371,7,2,9,28,70,67,6,76,6,2,219,25,4,35,10
stand on,stand on,4407,549,2147,243,60,552,233,550,572,1012,156,300,1016,10,340,96,1354,163,184,140,19,473,0,393,149,1332,1632,28,347,578,166,19,89,180,327,7,0,9,35,567,448,23,115,55,13,79,52,6,57,41
be on,be on,4371,258,2502,65,1870,253,354,657,62,2617,46,433,1664,936,478,322,621,603,328,979,8,82,393,0,234,169,215,889,41,247,331,415,267,444,25,224,459,662,150,352,145,75,173,246,172,34,44,255,115,12
beside,beside,1802,399,1117,51,326,606,1738,2662,187,370,107,2583,438,70,2243,533,266,1196,605,883,9,111,149,234,0,124,49,137,19,223,115,72,379,107,52,52,21,62,402,65,113,250,181,703,165,157,420,58,91,11
stand in,stand in,2785,105,3128,44,39,119,161,669,66,209,28,247,379,7,358,68,488,122,180,90,22,56,1332,169,124,0,678,11,506,114,614,14,111,462,30,7,0,5,28,224,475,11,147,35,7,45,26,7,141,27
walk on,walk on,3000,33,1305,14,23,43,44,254,15,270,7,85,377,1,141,15,590,38,85,95,4,17,1632,215,49,678,0,2,129,540,75,1,32,132,5,2,0,1,8,261,229,2,17,23,0,14,17,2,9,24
attach to,attach to,2919,295,1165,24,1562,232,364,476,99,2040,71,318,745,1150,296,294,63,635,223,921,0,12,28,889,137,11,2,0,0,35,185,95,126,81,13,515,505,640,98,26,11,50,129,114,239,2,48,353,52,0
eat,eat,1273,143,1304,11,19,120,77,111,368,33,22,61,82,2,78,37,44,52,14,9,1,2,347,41,19,506,129,0,0,8,36,2,11,60,43,0,0,0,9,112,50,6,10,2,4,16,9,0,6,3
at,at,1302,138,586,24,133,130,316,617,45,394,57,601,276,30,471,175,331,266,115,126,5,24,578,247,223,114,540,35,8,0,64,47,96,65,14,11,9,14,253,132,86,33,66,130,28,23,40,8,39,18
in a,in a,1672,731,2533,630,356,729,271,310,179,415,328,240,303,159,185,81,175,249,91,221,597,35,166,331,115,614,75,185,36,64,0,223,89,365,45,46,95,115,42,68,250,36,483,75,23,28,48,32,262,16
cover,cover,2346,195,814,21,356,220,164,249,26,344,47,143,632,100,179,127,63,113,124,179,1,0,19,415,72,14,1,95,2,47,223,0,172,146,1,31,25,14,75,97,12,47,28,67,42,3,50,23,26,2
over,over,1366,221,806,36,290,266,647,812,78,352,48,623,498,78,580,233,201,304,1542,295,4,34,89,267,379,111,32,126,11,96,89,172,0,124,21,73,30,75,159,90,80,96,117,167,144,20,151,41,75,7
be in,be in,1377,127,2328,21,198,154,122,323,15,220,13,213,349,94,238,96,138,111,131,115,7,22,180,444,107,462,132,81,60,65,365,146,124,0,3,46,34,44,59,61,211,31,275,87,25,16,20,54,227,12
carry,carry,792,969,170,257,19,1120,142,171,1925,285,260,136,224,3,85,359,103,51,38,6,74,371,327,25,52,30,5,13,43,14,45,1,21,3,0,3,1,0,12,69,9,36,3,0,8,80,10,1,9,14
hang on,hang on,2168,88,297,1,114,74,109,229,12,527,16,154,295,65,152,54,49,169,78,183,0,7,7,224,52,7,2,515,0,11,46,31,73,46,3,0,8,80,26,16,11,22,29,39,32,4,21,383,16,1
belong to,belong to,2056,96,337,19,2078,57,99,44,14,1040,6,28,165,1782,33,64,9,250,25,294,2,2,0,459,21,0,0,505,0,9,95,25,30,34,1,8,0,284,26,0,2,13,46,26,54,0,3,15,26,0
on front of,on front of,1847,98,693,9,1293,67,137,200,8,1151,12,144,370,673,132,119,29,604,175,844,1,9,9,662,62,5,1,640,0,14,115,14,75,44,0,80,284,0,24,8,10,26,95,53,147,5,18,74,54,0
around,around,758,190,440,10,198,226,853,977,76,188,48,795,180,87,766,506,64,588,239,187,1,28,35,150,402,28,8,98,9,253,42,75,159,59,12,26,26,24,0,7,19,196,50,172,73,25,195,38,31,6
lay on,lay on,1548,105,780,25,76,137,92,287,98,405,41,164,751,7,136,119,781,73,151,45,2,70,567,352,65,224,261,26,112,132,68,97,90,61,69,16,0,8,7,0,153,15,32,35,11,22,25,11,22,12
sit in,sit in,1140,75,1341,26,40,85,137,349,53,193,12,250,338,10,245,78,806,163,105,53,6,67,448,145,113,475,229,11,50,86,250,12,80,211,9,11,2,10,19,153,0,18,231,26,6,48,31,7,166,24
below,below,513,303,406,22,177,374,566,666,109,110,116,507,149,61,400,1043,40,377,246,97,1,6,23,75,250,11,2,50,6,33,36,47,96,31,36,22,13,26,196,15,18,0,46,44,106,35,101,18,13,2
inside,inside,888,136,1198,35,204,123,299,492,38,259,14,369,299,111,363,123,173,379,142,171,5,76,115,173,181,147,17,129,10,66,483,28,117,275,3,29,46,95,50,32,231,46,0,85,32,43,61,32,363,5
along,along,1126,87,657,10,166,59,439,1010,8,251,10,921,267,64,942,81,71,253,207,636,0,6,55,246,703,35,23,114,2,130,75,67,167,87,0,39,26,53,172,35,26,44,85,0,61,1,109,22,45,4
for,for,722,341,328,6,605,362,302,408,246,274,123,349,190,144,289,409,31,303,228,224,0,2,13,172,165,7,0,239,4,28,23,42,144,25,8,32,54,147,73,11,6,106,32,61,0,3,40,31,18,2
watch,watch,365,133,179,57,45,435,486,395,300,97,48,385,128,9,218,55,183,159,42,19,8,219,79,34,157,45,14,2,16,23,28,3,20,16,80,4,0,5,25,22,48,35,43,1,3,0,48,5,23,28
between,between,569,202,365,11,110,240,499,694,55,108,65,654,131,34,574,178,70,387,215,190,3,25,52,44,420,26,17,48,9,40,48,50,151,20,10,21,3,18,195,25,31,101,61,109,40,48,0,23,30,3
hang from,hang from,659,77,312,2,155,67,96,190,15,436,10,124,316,107,125,64,28,136,71,161,1,4,6,255,58,7,2,353,0,8,32,23,41,54,1,383,15,74,38,11,7,18,32,22,31,5,23,0,15,0
inside of,inside of,496,105,586,37,106,101,84,188,36,118,22,157,146,47,156,76,83,137,84,69,21,35,57,115,91,141,9,52,6,39,262,26,75,227,9,16,26,54,31,22,166,13,363,45,18,23,30,15,0,3
