on,on,0,3220,25484,1135,31908,3003,3248,5718,3516,12592,1014,4439,9609,7953,3578,2334,6181,2543,2326,5449,268,4532,4647,4609,1921,2949,3125,3097,1339,1373,1769,2466,1422,1443,832,2243,2155,1950,799,1627,1180,553,929,1170,769,395,594,703,529,59
have,have,3220,0,6622,8613,1827,19574,1437,1112,3308,780,10654,976,694,234,697,1104,274,538,447,209,4540,348,576,272,424,109,33,319,147,144,769,215,230,136,1015,92,101,101,195,120,76,326,141,98,362,150,222,82,113,45
in,in,25484,6622,0,7521,3465,3631,2071,3919,825,4305,980,2458,3501,1081,2501,1034,2222,1730,1236,2380,4337,291,2265,2636,1183,3367,1367,1235,1367,619,2680,857,837,2422,175,312,343,716,459,809,1388,433,1261,692,354,190,390,345,615,50
wear,wear,1135,8613,7521,0,102,3135,129,124,1029,114,733,128,90,42,66,55,59,43,35,18,5573,51,251,69,52,48,14,25,11,25,662,21,38,21,267,1,20,10,10,28,27,25,35,10,6,61,13,2,38,27
of,of,31908,1827,3465,102,0,1372,957,818,460,5665,281,724,1159,9357,546,1238,159,966,463,2748,7,41,69,1984,358,44,27,1655,23,141,382,378,309,209,21,123,2177,1375,208,81,45,190,219,180,646,51,120,182,120,11
with,with,3003,19574,3631,3135,1372,0,1810,1535,3759,887,5214,1422,720,177,943,1496,383,735,495,179,1925,589,579,270,639,123,43,251,125,138,767,242,276,164,1193,78,63,74,238,147,86,392,132,64,390,465,262,70,112,62
behind,behind,3248,1437,2071,129,957,1810,0,5550,578,718,459,4377,787,333,3293,1635,470,2736,1616,614,15,213,255,381,1824,168,45,380,82,347,287,176,682,129,155,109,105,145,899,104,146,591,332,467,328,503,534,96,93,40
near,near,5718,1112,3919,124,818,1535,5550,0,567,1100,329,6237,1495,231,5658,1803,916,3472,1438,1495,23,274,596,712,2817,710,267,502,117,646,331,267,855,344,184,238,47,215,1019,304,373,703,539,1053,433,421,738,194,200,44
hold,hold,3516,3308,825,1029,460,3759,578,567,0,773,932,469,431,54,308,928,261,252,103,40,335,866,605,66,197,70,16,108,383,48,185,26,83,15,1998,12,15,9,78,108,56,117,40,8,262,328,62,16,38,63
on a,on a,12592,780,4305,114,5665,887,718,1100,773,0,170,791,3655,2474,736,659,1833,991,467,2361,22,1020,1067,2759,393,226,298,2168,33,413,454,359,372,232,311,547,1094,1208,194,434,205,118,264,268,298,117,122,476,128,29
have a,have a,1014,10654,980,733,281,5214,459,329,932,170,0,262,120,39,183,283,87,118,142,35,603,89,161,47,114,31,8,76,22,59,346,57,50,13,278,17,6,14,49,46,12,123,14,10,143,52,70,11,23,18
next to,next to,4439,976,2458,128,724,1422,4377,6237,469,791,262,0,1135,173,4527,1353,652,2661,1179,1222,15,249,332,462,2731,263,88,342,65,631,262,150,654,231,148,169,30,150,839,175,264,534,394,963,371,414,696,132,168,37
on top of,on top of,9609,694,3501,90,1159,720,787,1495,431,3655,120,1135,0,467,961,579,2360,708,749,1032,12,542,1054,1768,475,398,393,786,86,305,333,662,521,367,233,306,178,390,184,790,351,157,307,290,206,135,144,333,156,25
of a,of a,7953,234,1081,42,9357,177,333,231,54,2474,39,173,467,0,154,372,25,513,118,946,6,6,11,993,74,7,1,1220,2,30,172,106,86,99,3,69,1877,709,89,8,10,62,111,68,157,9,39,123,52,8
by,by,3578,697,2501,66,546,943,3293,5658,308,736,183,4527,961,154,0,1132,536,2463,953,1184,13,178,368,509,2386,368,144,314,83,504,198,187,611,248,90,160,35,139,817,146,256,426,386,990,312,230,614,130,163,25
under,under,2334,1104,1034,55,1238,1496,1635,1803,928,659,283,1353,579,372,1132,0,299,1030,543,217,7,42,99,348,560,71,16,322,41,181,92,130,246,104,371,56,69,133,542,133,80,1111,129,84,426,62,184,64,77,11
sit on,sit on,6181,274,2222,59,159,383,470,916,261,1833,87,652,2360,25,536,299,0,356,304,142,6,618,1443,662,277,517,620,65,46,353,184,68,206,146,108,50,9,30,65,834,869,41,190,74,36,191,73,30,91,36
in front of,in front of,2543,538,1730,43,966,735,2736,3472,252,991,118,2661,708,513,2463,1030,356,0,563,903,5,108,182,632,1265,124,39,659,56,276,258,121,323,114,55,177,258,641,622,75,169,411,403,267,323,172,412,142,145,12
above,above,2326,447,1236,35,463,495,1616,1438,103,467,142,1179,749,118,953,543,304,563,0,459,6,61,190,349,644,187,88,233,15,119,104,142,1634,144,43,82,25,180,245,156,107,257,149,215,236,48,223,72,91,24
on side of,on side of,5449,209,2380,18,2748,179,614,1495,40,2361,35,1222,1032,946,1184,217,142,903,459,0,1,25,142,1025,939,92,101,974,11,136,232,182,310,118,6,192,300,889,196,47,54,103,178,657,229,20,197,168,77,5
wear a,wear a,268,4540,4337,5573,7,1925,15,23,335,22,603,15,12,6,13,7,6,5,6,1,0,15,19,8,9,24,4,0,1,5,631,1,4,7,74,0,2,1,1,4,6,1,5,0,0,9,3,1,22,3
rid,rid,4532,348,291,51,41,589,213,274,866,1020,89,249,542,6,178,42,618,108,61,25,15,0,517,86,115,61,17,12,2,25,39,0,34,23,387,7,2,10,29,75,75,7,84,6,4,243,27,4,41,13
stand on,stand on,4647,576,2265,251,69,579,255,596,605,1067,161,332,1054,11,368,99,1443,182,190,142,19,517,0,427,170,1407,1725,28,369,607,175,20,92,198,352,8,0,9,35,588,463,24,129,59,15,109,54,6,63,43
be on,be on,4609,272,2636,69,1984,270,381,712,66,2759,47,462,1768,993,509,348,662,632,349,1025,8,86,427,0,249,177,228,933,42,264,366,444,281,471,25,233,485,695,157,367,152,78,182,266,187,35,52,286,126,12
beside,beside,1921,424,1183,52,358,639,1824,2817,197,393,114,2731,475,74,2386,560,277,1265,644,939,9,115,170,249,0,128,51,146,21,233,118,76,405,114,56,54,22,68,418,71,116,269,197,736,178,165,446,60,98,12
stand in,stand in,2949,109,3367,48,44,123,168,710,70,226,31,263,398,7,368,71,517,124,187,92,24,61,1407,177,128,0,698,11,546,117,659,14,117,490,33,7,0,5,30,233,487,12,161,44,9,45,26,7,157,30
walk on,walk on,3125,33,1367,14,27,43,45,267,16,298,8,88,393,1,144,16,620,39,88,101,4,17,1725,228,51,698,0,2,138,565,77,1,34,139,6,2,0,1,8,271,240,3,18,24,0,15,17,2,11,24
attach to,attach to,3097,319,1235,25,1655,251,380,502,108,2168,76,342,786,1220,314,322,65,659,233,974,0,12,28,933,146,11,2,0,0,36,200,102,129,86,14,542,523,664,100,29,11,52,130,123,254,2,53,379,58,2
eat,eat,1339,147,1367,11,23,125,82,117,383,33,22,65,86,2,83,41,46,56,15,11,1,2,369,42,21,546,138,0,0,10,38,2,13,62,43,0,0,0,9,113,53,6,10,2,4,18,10,0,6,3
at,at,1373,144,619,25,141,138,347,646,48,413,59,631,305,30,504,181,353,276,119,136,5,25,607,264,233,117,565,36,10,0,68,50,100,66,15,12,9,14,279,136,90,36,68,144,35,24,42,9,41,18
in a,in a,1769,769,2680,662,382,767,287,331,185,454,346,262,333,172,198,92,184,258,104,232,631,39,175,366,118,659,77,200,38,68,0,231,95,383,45,50,101,122,45,74,262,44,508,89,27,28,51,33,277,16
cover,cover,2466,215,857,21,378,242,176,267,26,359,57,150,662,106,187,130,68,121,142,182,1,0,20,444,76,14,1,102,2,50,231,0,189,154,1,32,26,15,77,101,12,50,29,75,45,3,63,24,26,2
over,over,1422,230,837,38,309,276,682,855,83,372,50,654,521,86,611,246,206,323,1634,310,4,34,92,281,405,117,34,129,13,100,95,189,0,131,21,75,31,76,164,94,82,105,124,175,152,23,157,44,79,7
be in,be in,1443,136,2422,21,209,164,129,344,15,232,13,231,367,99,248,104,146,114,144,118,7,23,198,471,114,490,139,86,62,66,383,154,131,0,3,47,35,46,64,63,224,31,285,91,26,16,20,59,242,12
carry,carry,832,1015,175,267,21,1193,155,184,1998,311,278,148,233,3,90,371,108,55,43,6,74,387,352,25,56,33,6,14,43,15,45,1,21,3,0,3,1,0,13,76,9,37,3,0,8,88,12,1,9,17
