on,on,0,29819,3410,5903,4634,9643,4547,3676,2393,2354,5463,1973,1427,1447,1366,814,569,1177,607
in,in,29819,0,2159,4088,2592,3650,2370,2586,1062,1259,2415,1227,652,848,1868,473,439,703,407
behind,behind,3410,2159,0,5550,4377,787,2794,3293,1635,1616,614,1824,347,682,374,899,591,467,534
near,near,5903,4088,5550,0,6237,1495,3557,5658,1803,1438,1495,2817,646,855,676,1019,703,1053,738
next to,next to,4634,2592,4377,6237,0,1135,2726,4527,1353,1179,1222,2731,631,654,491,839,534,963,696
on top of,on top of,9643,3650,787,1495,1135,0,906,961,579,749,1032,475,305,521,399,184,157,290,144
in front of,in front of,4547,2370,2794,3557,2726,906,0,2515,1126,636,1615,1287,277,353,521,635,422,278,420
by,by,3676,2586,3293,5658,4527,961,2515,0,1132,953,1184,2386,504,611,479,817,426,990,614
under,under,2393,1062,1635,1803,1353,579,1126,1132,0,543,217,560,181,246,171,542,1111,84,184
above,above,2354,1259,1616,1438,1179,749,636,953,543,0,459,644,119,1634,193,245,257,215,223
on side of,on side of,5463,2415,614,1495,1222,1032,1615,1184,217,459,0,939,136,310,225,196,103,657,197
beside,beside,1973,1227,1824,2817,2731,475,1287,2386,560,644,939,0,233,405,245,418,269,736,446
at,at,1427,652,347,646,631,305,277,504,181,119,136,233,0,100,78,279,36,144,42
over,over,1447,848,682,855,654,521,353,611,246,1634,310,405,100,0,153,164,105,175,157
inside of,inside of,1366,1868,374,676,491,399,521,479,171,193,225,245,78,153,0,66,56,122,76
around,around,814,473,899,1019,839,184,635,817,542,245,196,418,279,164,66,0,209,178,212
below,below,569,439,591,703,534,157,422,426,1111,257,103,269,36,105,56,209,0,48,110
along,along,1177,703,467,1053,963,290,278,990,84,215,657,736,144,175,122,178,48,0,113
between,between,607,407,534,738,696,144,420,614,184,223,197,446,42,157,76,212,110,113,0
