on,on,0,28381,3234,5588,4397,9204,4313,3486,2240,2236,5249,1852,1353,1387,1296,777,529,1132,582
in,in,28381,0,2034,3852,2446,3463,2281,2437,996,1198,2307,1158,618,814,1776,456,413,668,382
behind,behind,3234,2034,0,5240,4126,742,2656,3087,1523,1535,585,1738,316,647,336,853,566,439,499
near,near,5588,3852,5240,0,5881,1393,3372,5333,1701,1353,1422,2662,617,812,621,977,666,1010,694
next to,next to,4397,2446,4126,5881,0,1069,2597,4243,1275,1121,1156,2583,601,623,459,795,507,921,654
on top of,on top of,9204,3463,742,1393,1069,0,850,898,538,726,991,438,276,498,385,180,149,267,131
in front of,in front of,4313,2281,2656,3372,2597,850,0,2384,1053,604,1541,1217,267,333,493,600,388,268,396
by,by,3486,2437,3087,5333,4243,898,2384,0,1063,897,1130,2243,471,580,451,766,400,942,574
under,under,2240,996,1523,1701,1275,538,1053,1063,0,513,205,533,175,233,165,506,1043,81,178
above,above,2236,1198,1535,1353,1121,726,604,897,513,0,435,605,115,1542,181,239,246,207,215
on side of,on side of,5249,2307,585,1422,1156,991,1541,1130,205,435,0,883,126,295,212,187,97,636,190
beside,beside,1852,1158,1738,2662,2583,438,1217,2243,533,605,883,0,223,379,228,402,250,703,420
at,at,1353,618,316,617,601,276,267,471,175,115,126,223,0,96,74,253,33,130,40
over,over,1387,814,647,812,623,498,333,580,233,1542,295,379,96,0,143,159,96,167,151
inside of,inside of,1296,1776,336,621,459,385,493,451,165,181,212,228,74,143,0,66,52,114,72
around,around,777,456,853,977,795,180,600,766,506,239,187,402,253,159,66,0,196,172,195
below,below,529,413,566,666,507,149,388,400,1043,246,97,250,33,96,52,196,0,44,101
along,along,1132,668,439,1010,921,267,268,942,81,207,636,703,130,167,114,172,44,0,109
between,between,582,382,499,694,654,131,396,574,178,215,190,420,40,151,72,195,101,109,0
