wear,wear,4345,577,187,157,103,110,72,0,37,48,23,14,14,0,21,17,15,12,9,7,10,9,6,2,4,5,5,4
hold,hold,577,610,184,156,108,110,72,0,40,48,23,14,14,1,20,17,15,13,10,7,10,9,6,2,5,5,5,4
sit,sit,187,184,205,157,103,115,72,1,38,48,23,14,14,0,21,17,15,13,9,10,10,9,7,3,4,5,5,4
ride,ride,157,156,157,159,105,110,72,0,37,48,23,14,14,2,20,17,15,12,9,7,10,9,6,2,4,5,5,4
carry,carry,103,108,103,105,156,107,71,0,39,47,23,14,21,10,20,20,17,14,11,7,10,9,6,3,6,5,5,4
look,look,110,110,115,110,107,120,72,0,38,48,23,14,17,0,20,20,15,15,10,8,10,9,7,4,6,5,5,4
use,use,72,72,72,72,71,72,72,0,37,48,23,14,14,0,20,17,15,12,9,7,10,9,6,2,4,5,5,4
cover,cover,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
touch,touch,37,40,38,37,39,38,37,0,57,37,23,14,14,1,20,17,16,13,10,7,10,9,6,3,4,5,5,4
watch,watch,48,48,48,48,47,48,48,0,37,48,23,14,14,0,20,17,15,12,9,7,10,9,6,2,4,5,5,4
talk,talk,23,23,23,23,23,23,23,0,23,23,23,14,14,0,20,17,15,12,9,7,10,9,6,2,4,5,5,4
fly,fly,14,14,14,14,14,14,14,0,14,14,14,23,14,2,14,14,14,12,9,7,10,9,6,2,4,5,5,4
pull,pull,14,14,14,14,21,17,14,0,14,14,14,14,21,2,14,17,14,13,10,7,10,9,6,2,5,5,5,4
park,park,0,1,0,2,10,0,0,0,1,0,0,2,2,21,0,0,2,0,0,0,0,0,0,2,0,0,0,0
drive,drive,21,20,21,20,20,20,20,0,20,20,20,14,14,0,21,17,15,12,9,7,10,9,6,2,4,5,5,4
walk,walk,17,17,17,17,20,20,17,0,17,17,17,14,17,0,17,20,15,13,10,7,10,9,6,2,5,5,5,4
lean,lean,15,15,15,15,17,15,15,0,16,15,15,14,14,2,15,15,17,12,9,7,10,9,6,2,4,5,5,4
eat,eat,12,13,13,12,14,15,12,0,13,12,12,12,13,0,12,13,12,15,10,7,10,9,6,3,6,5,5,4
face,face,9,10,9,9,11,10,9,1,10,9,9,9,10,0,9,10,9,10,15,7,9,9,6,2,5,5,5,4
lying,lying,7,7,10,7,7,8,7,0,7,7,7,7,7,0,7,7,7,7,7,13,7,7,7,2,4,5,5,4
hit,hit,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,9,7,10,9,6,2,4,5,5,4
play,play,9,9,9,9,9,9,9,0,9,9,9,9,9,0,9,9,9,9,9,7,9,9,6,2,4,5,5,4
rest,rest,6,6,7,6,6,7,6,0,6,6,6,6,6,0,6,6,6,6,6,7,6,6,7,2,4,5,5,4
follow,follow,2,2,3,2,3,4,2,0,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,7,2,2,2,2
feed,feed,4,5,4,4,6,6,4,0,4,4,4,4,5,0,4,5,4,6,5,4,4,4,4,2,6,4,4,4
kick,kick,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,2,4,5,5,4
walk,walk,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,2,4,5,5,4
skate,skate,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,2,4,4,4,4
