wear,wear,5401,692,231,191,131,134,102,0,45,56,30,16,18,0,32,18,19,15,12,11,10,16,8,4,5,5,6,6
hold,hold,692,737,229,190,139,130,102,3,50,55,30,16,17,2,31,17,20,15,12,11,10,16,8,3,5,5,6,6
sit,sit,231,229,251,192,131,139,102,1,46,59,30,16,17,1,32,17,19,15,11,15,10,16,9,4,4,5,6,6
ride,ride,191,190,192,193,132,131,102,0,45,56,30,16,17,2,31,17,19,14,11,11,10,16,8,3,4,5,6,6
carry,carry,131,139,131,132,192,133,101,2,47,54,30,16,27,12,31,20,21,16,13,11,10,16,8,5,6,5,6,6
look,look,134,130,139,131,133,145,102,0,46,59,30,16,21,0,32,20,19,17,12,13,10,16,9,6,6,5,6,6
use,use,102,102,102,102,101,102,102,0,45,55,30,16,17,0,31,17,19,14,11,11,10,16,8,3,4,5,6,6
cover,cover,0,3,1,0,2,0,0,79,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
touch,touch,45,50,46,45,47,46,45,1,72,45,30,16,17,1,31,17,20,15,12,12,10,16,8,3,4,5,6,6
watch,watch,56,55,59,56,54,59,55,0,45,59,30,16,17,0,31,17,19,14,11,12,10,16,9,3,4,5,6,6
talk,talk,30,30,30,30,30,30,30,0,30,30,30,16,17,0,30,17,19,14,11,11,10,16,8,2,4,5,6,6
fly,fly,16,16,16,16,16,16,16,0,16,16,16,26,16,2,16,16,16,14,11,11,10,16,8,2,4,5,6,6
pull,pull,18,17,17,17,27,21,17,0,17,17,17,16,27,2,17,20,17,15,12,11,10,16,8,4,5,5,6,6
park,park,0,2,1,2,12,0,0,0,1,0,0,2,2,25,0,0,2,0,0,0,0,0,0,3,0,0,0,0
drive,drive,32,31,32,31,31,32,31,0,31,31,30,16,17,0,32,17,19,14,11,11,10,16,8,2,4,5,6,6
walk,walk,18,17,17,17,20,20,17,0,17,17,17,16,20,0,17,20,17,15,12,11,10,16,8,3,5,5,6,6
lean,lean,19,20,19,19,21,19,19,0,20,19,19,16,17,2,19,17,21,14,11,11,10,16,8,2,4,5,6,6
eat,eat,15,15,15,14,16,17,14,0,15,14,14,14,15,0,14,15,14,17,12,12,10,14,8,4,6,5,6,6
face,face,12,12,11,11,13,12,11,1,12,11,11,11,12,0,11,12,11,12,17,11,10,11,8,3,5,5,6,6
lying,lying,11,11,15,11,11,13,11,1,12,12,11,11,11,0,11,11,11,12,11,19,10,11,10,3,4,5,6,6
hit,hit,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,8,2,4,5,6,6
play,play,16,16,16,16,16,16,16,0,16,16,16,16,16,0,16,16,16,14,11,11,10,16,8,2,4,5,6,6
rest,rest,8,8,9,8,8,9,8,1,8,9,8,8,8,0,8,8,8,8,8,10,8,8,10,2,4,5,6,6
follow,follow,4,3,4,3,5,6,3,0,3,3,2,2,4,3,2,3,2,4,3,3,2,2,2,10,3,2,2,2
feed,feed,5,5,4,4,6,6,4,0,4,4,4,4,5,0,4,5,4,6,5,4,4,4,4,3,6,4,4,4
kick,kick,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,2,4,5,5,5
walk,walk,6,6,6,6,6,6,6,0,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,2,4,5,6,6
skate,skate,6,6,6,6,6,6,6,0,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,2,4,5,6,6
