on,on,5113,961,941,1929,1496,1361,1302,804,1243,505,694,567,606,226,374,367,226,356,218,205,181,159,156,120,109,94,75,72,64,24,57,51,48,45,30,37,32,29,26,22,23,21,20,21,21,20,17,15,15,13,10,9,9,9,8,7,7,7,6,6,5,5,5,5,4,3,3,3,3,1
wear,wear,961,4345,114,810,1508,515,462,200,457,69,266,348,577,30,115,137,31,144,171,187,40,157,103,110,108,82,72,72,51,0,37,2,48,23,3,0,6,8,9,14,23,14,0,21,0,17,15,12,9,7,10,9,8,1,4,2,6,6,4,2,5,5,5,3,4,3,3,2,2,0
above,above,941,114,2417,661,401,669,582,549,579,401,434,405,139,568,333,306,200,303,156,126,179,115,137,117,109,94,74,72,59,60,54,51,48,44,38,35,29,26,26,23,23,21,19,21,21,20,17,15,14,13,10,9,9,9,8,6,7,7,6,6,5,5,5,5,4,3,3,3,3,1
next to,next to,1929,810,661,2366,1395,1513,1398,929,1310,565,747,551,598,197,404,376,297,359,219,205,169,159,156,120,109,94,75,72,64,40,57,42,48,45,29,37,32,29,27,19,23,21,20,21,21,20,17,15,15,13,10,9,9,9,8,7,7,7,6,6,5,5,5,5,4,3,3,3,3,1
has,has,1496,1508,401,1395,2314,1063,945,637,903,359,528,492,597,140,304,292,202,284,200,193,112,158,148,115,108,90,74,72,58,6,47,38,48,40,24,37,16,21,24,18,23,18,20,21,21,18,17,14,12,10,10,9,9,9,7,7,7,7,5,6,5,5,5,5,4,3,3,2,3,1
behind,behind,1361,515,669,1513,1063,2237,1284,825,1100,490,698,622,532,271,369,364,219,342,215,197,158,159,148,118,109,93,75,72,64,30,53,42,48,44,36,37,28,28,26,20,23,20,21,20,21,20,17,15,13,13,10,9,9,9,8,6,6,7,6,6,5,5,5,5,4,3,3,3,3,1
in the front of,in the front of,1302,462,582,1398,945,1284,1539,769,1152,488,715,529,479,168,392,351,242,348,212,204,159,159,156,120,109,94,75,72,64,17,55,45,48,45,34,37,32,29,27,23,23,21,20,21,21,20,17,15,14,13,10,9,9,9,8,7,7,7,6,6,5,5,5,5,4,3,3,3,3,1
under,under,804,200,549,929,637,825,769,1481,741,694,585,352,219,182,361,334,363,326,207,193,142,158,144,119,109,94,75,72,64,15,57,47,48,45,38,37,30,26,27,22,23,21,20,21,21,20,17,15,15,12,10,9,9,9,8,7,7,7,6,6,5,5,5,5,4,3,3,3,3,1
near,near,1243,457,579,1310,903,1100,1152,741,1372,488,721,540,477,195,400,363,265,347,216,203,166,159,150,120,109,93,75,72,64,35,57,38,48,45,30,37,32,27,25,21,23,21,20,20,21,20,17,15,15,13,10,9,9,9,8,7,7,7,6,6,5,5,5,5,4,3,3,3,3,1
below,below,505,69,401,565,359,490,488,694,488,762,370,211,86,162,294,257,332,243,108,77,127,71,97,76,70,81,71,69,58,16,56,28,48,44,38,35,29,21,25,23,23,20,17,20,20,20,17,15,13,12,10,9,9,9,8,6,7,7,6,6,5,5,5,5,4,3,3,3,3,1
