on,on,0,46,458,315,98,172,194,83,265,49,152,192,100,128,94,67,20,49,42,178,162,156,23,60,42,91,12,28,8,19,28,42,9,19,4,4,9,11,6,0,16,6,1,18,19,9,8,3,8,12,0,4,9,8,3,2,4,6,5,2,2,0,5,1,4,1,3,0,3,0
wear,wear,46,0,5,16,1233,18,9,11,43,4,3,216,63,1,4,0,5,3,118,1,5,6,17,3,5,7,5,1,0,0,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above,above,458,5,0,225,65,279,138,32,205,32,127,92,39,489,77,65,14,62,26,37,120,26,13,31,18,60,12,2,4,45,26,12,8,24,3,5,18,8,7,1,7,0,2,3,19,9,4,2,7,5,0,2,3,8,3,2,6,2,3,0,1,0,4,1,4,1,2,0,3,0
next to,next to,315,16,225,0,129,978,766,164,875,104,616,109,115,66,309,303,53,281,63,67,50,59,61,85,107,49,71,11,58,4,36,14,47,39,7,30,23,10,25,1,13,14,3,19,11,19,15,2,11,8,1,5,4,5,7,7,7,5,5,4,5,1,5,4,3,3,3,3,2,1
has,has,98,1233,65,129,0,123,70,156,157,100,54,251,275,16,41,33,73,30,172,10,31,38,107,41,19,17,13,50,1,1,19,5,7,4,2,1,6,3,6,2,16,11,16,3,0,6,0,2,4,1,3,7,0,1,6,2,4,3,3,0,2,3,3,3,1,2,2,2,0,0
behind,behind,172,18,279,978,123,0,645,148,702,90,461,69,112,138,230,275,49,246,73,63,38,30,41,68,103,18,71,11,45,18,30,13,43,25,4,26,27,6,16,2,11,11,1,14,3,17,14,2,11,5,2,4,4,1,8,6,6,4,4,3,4,2,5,4,0,2,3,2,0,1
in the front of,in the front of,194,9,138,766,70,645,0,173,612,141,439,87,90,41,228,241,70,242,53,61,29,31,24,76,97,21,67,9,32,5,27,11,45,26,22,24,18,10,13,1,11,5,0,18,3,17,14,3,13,3,2,4,2,2,6,7,7,3,4,6,4,2,5,4,3,1,3,2,2,1
under,under,83,11,32,164,156,148,173,0,160,553,77,40,123,12,67,37,315,31,28,5,10,2,36,11,8,3,6,0,11,1,6,5,5,4,33,3,7,3,1,13,1,0,5,2,0,2,0,0,1,3,1,2,2,0,5,2,2,0,1,2,0,1,1,2,0,1,1,3,0,0
near,near,265,43,205,875,157,702,612,160,0,117,496,119,137,74,273,252,67,250,109,64,59,37,58,77,104,38,69,8,27,13,38,10,47,32,5,27,22,11,18,2,12,9,5,17,8,19,17,5,11,9,1,4,7,5,7,6,7,5,4,4,5,1,5,5,4,2,3,3,2,1
below,below,49,4,32,104,100,90,141,553,117,0,46,28,31,11,41,27,251,35,22,3,10,1,16,15,10,2,7,1,1,1,11,5,8,6,33,4,8,1,6,12,4,0,4,0,0,5,1,0,4,1,2,3,1,1,7,2,5,1,2,2,0,2,3,2,0,1,2,3,0,0
beside,beside,152,3,127,616,54,461,439,77,496,46,0,66,70,41,224,209,23,208,41,50,26,26,27,59,97,22,66,2,23,4,30,5,37,31,3,21,16,10,16,0,11,6,1,17,12,18,13,1,9,4,0,2,5,4,7,5,6,4,4,4,3,0,5,2,3,3,3,1,2,1
in,in,192,216,92,109,251,69,87,40,119,28,66,0,33,46,39,14,18,25,97,55,16,20,3,19,17,34,5,0,2,1,11,5,2,10,7,3,1,13,1,8,0,2,2,14,13,3,6,0,1,5,0,0,3,6,0,0,0,3,0,3,1,0,2,0,2,0,1,0,2,0
hold,hold,100,63,39,115,275,112,90,123,137,31,70,33,0,11,59,62,22,57,98,12,28,43,104,68,58,18,51,40,1,0,26,2,37,13,2,0,8,0,6,14,23,11,3,2,0,12,0,12,8,1,10,8,1,0,5,2,6,4,4,0,4,5,3,2,1,2,2,3,0,0
over,over,128,1,489,66,16,138,41,12,74,11,41,46,11,0,35,21,3,18,14,17,55,9,3,8,3,20,4,2,1,27,14,3,1,14,2,1,5,2,2,1,1,1,0,1,12,2,2,0,1,2,0,2,2,7,1,2,1,3,1,0,1,0,2,0,3,1,1,0,2,0
by,by,94,4,77,309,41,230,228,67,273,41,224,39,59,35,0,137,24,133,35,23,15,12,12,51,75,12,63,3,16,1,22,3,37,25,7,15,10,4,9,1,13,0,1,13,6,14,13,1,9,3,0,3,1,6,5,4,7,1,3,5,2,0,4,3,1,1,3,1,2,1
on the left of,on the left of,67,0,65,303,33,275,241,37,252,27,209,14,62,21,137,0,10,191,35,16,12,11,16,56,75,13,59,5,4,4,22,8,40,23,3,10,12,5,10,1,12,3,1,10,0,15,4,1,9,2,1,4,1,2,4,6,6,4,3,2,2,1,4,2,2,1,2,0,2,1
beneath,beneath,20,5,14,53,73,49,70,315,67,251,23,18,22,3,24,10,0,11,17,1,2,0,19,4,4,0,1,0,0,0,5,2,2,3,29,1,3,0,1,7,1,1,2,0,0,1,0,0,1,0,0,1,0,0,3,1,1,0,1,0,0,0,1,2,0,1,1,3,0,0
on the right of,on the right of,49,3,62,281,30,246,242,31,250,35,208,25,57,18,133,191,11,0,28,16,11,8,8,44,78,9,58,2,4,2,16,1,38,20,3,9,11,4,10,0,11,2,0,9,2,15,9,0,9,0,0,1,1,3,5,5,7,1,3,2,5,0,4,2,1,1,2,0,1,1
with,with,42,118,26,63,172,73,53,28,109,22,41,97,98,14,35,35,17,28,0,6,11,10,35,31,25,8,27,9,2,4,18,2,18,13,2,1,6,0,5,2,16,3,5,1,0,11,1,0,9,2,0,4,0,0,4,2,6,1,3,0,2,0,3,4,1,2,2,2,0,0
sit on,sit on,178,1,37,67,10,63,61,5,64,3,50,55,12,17,23,16,1,16,6,0,21,37,3,25,23,25,11,2,21,0,16,0,4,6,2,0,2,4,3,0,1,3,0,12,0,3,9,1,2,6,0,2,6,1,1,1,1,5,2,1,1,0,3,1,3,1,1,0,3,0
on the top of,on the top of,162,5,120,50,31,38,29,10,59,10,26,16,28,55,15,12,2,11,11,21,0,29,9,15,12,16,1,2,1,8,9,9,1,2,0,1,5,5,1,1,0,0,0,4,3,0,1,2,0,1,0,1,2,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0
ride,ride,156,6,26,59,38,30,31,2,37,1,26,20,43,9,12,11,0,8,10,37,29,0,8,21,24,15,1,1,0,0,6,1,3,0,0,0,1,6,2,0,0,2,0,15,2,0,2,0,1,1,0,1,0,0,0,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0
