on,on,6709,2746,1166,1728,1647,1017,1532,626,834,705,448,463,271,439,233,56,39,40,29,26,7
next to,next to,2746,3329,829,1953,1810,1213,1638,705,913,685,498,482,366,449,221,56,37,40,30,26,7
above,above,1166,829,2970,840,725,691,716,508,559,501,406,403,238,384,228,55,45,36,29,21,7
behind,behind,1728,1953,840,2832,1636,1063,1348,605,858,764,451,465,273,428,206,56,42,40,30,26,7
in the front of,in the front of,1647,1810,725,1636,1948,1005,1456,614,875,655,479,454,303,432,201,56,44,40,30,24,7
under,under,1017,1213,691,1063,1005,1877,937,867,740,447,452,432,445,408,177,55,44,37,30,23,7
near,near,1532,1638,716,1348,1456,937,1704,614,871,670,488,469,323,436,210,56,37,38,28,25,7
below,below,626,705,508,605,614,867,614,938,462,261,364,341,408,316,163,55,43,32,28,19,7
beside,beside,834,913,559,858,875,740,871,462,917,496,443,441,250,404,175,54,36,35,28,17,7
in,in,705,685,501,764,655,447,670,261,496,901,301,311,118,309,135,49,28,37,27,13,6
by,by,448,498,406,451,479,452,488,364,443,301,505,362,220,348,153,53,36,36,27,17,6
on the left of,on the left of,463,482,403,465,454,432,469,341,441,311,362,484,174,387,150,54,31,33,28,19,7
beneath,beneath,271,366,238,273,303,445,323,408,250,118,220,174,447,169,84,52,38,24,24,12,6
on the right of,on the right of,439,449,384,428,432,408,436,316,404,309,348,387,169,452,151,55,33,37,28,16,6
on the top of,on the top of,233,221,228,206,201,177,210,163,175,135,153,150,84,151,241,43,20,31,21,16,5
across,across,56,56,55,56,56,55,56,55,54,49,53,54,52,55,43,56,18,14,18,4,4
against,against,39,37,45,42,44,44,37,43,36,28,36,31,38,33,20,18,46,9,6,4,4
inside,inside,40,40,36,40,40,37,38,32,35,37,36,33,24,37,31,14,9,40,11,5,3
adjacent to,adjacent to,29,30,29,30,30,30,28,28,28,27,27,28,24,28,21,18,6,11,30,4,5
contain,contain,26,26,21,26,24,23,25,19,17,13,17,19,12,16,16,4,4,5,4,26,1
outside of,outside of,7,7,7,7,7,7,7,7,7,6,6,7,6,6,5,4,4,3,5,1,7
