on,on,5278,365,460,192,215,84,288,51,169,203,102,68,20,55,162,19,4,11,6,1,2
next to,next to,365,2595,230,1013,785,174,897,109,625,116,313,305,54,283,51,39,7,10,25,3,5
above,above,460,230,2417,279,138,33,205,32,127,92,77,65,14,62,120,24,3,8,7,2,0
behind,behind,192,1013,279,2253,647,154,704,92,464,69,231,275,49,247,38,25,4,6,16,1,3
in the front of,in the front of,215,785,138,647,1539,175,612,141,442,87,228,241,70,242,29,26,22,10,13,0,6
under,under,84,174,33,154,175,1489,163,553,79,40,69,39,315,33,10,4,33,3,1,5,2
near,near,288,897,205,704,612,163,1372,117,498,119,273,252,67,250,59,32,5,11,18,5,4
below,below,51,109,32,92,141,553,117,762,46,28,41,27,251,35,10,6,33,1,6,4,2
beside,beside,169,625,127,464,442,79,498,46,757,66,224,209,23,208,26,31,3,10,16,1,4
in,in,203,116,92,69,87,40,119,28,66,734,39,14,18,25,16,10,7,13,1,2,3
by,by,102,313,77,231,228,69,273,41,224,39,417,137,24,133,15,25,7,4,9,1,5
on the left of,on the left of,68,305,65,275,241,39,252,27,209,14,137,381,10,191,12,23,3,5,10,1,2
beneath,beneath,20,54,14,49,70,315,67,251,23,18,24,10,366,11,2,3,29,0,1,2,0
on the right of,on the right of,55,283,62,247,242,33,250,35,208,25,133,191,11,364,11,20,3,4,10,0,2
on the top of,on the top of,162,51,120,38,29,10,59,10,26,16,15,12,2,11,189,2,0,5,1,0,0
across,across,19,39,24,25,26,4,32,6,31,10,25,23,3,20,2,45,2,0,6,0,0
against,against,4,7,3,4,22,33,5,33,3,7,7,3,29,3,0,2,38,0,2,0,0
inside,inside,11,10,8,6,10,3,11,1,10,13,4,5,0,4,5,0,0,29,0,0,1
adjacent to,adjacent to,6,25,7,16,13,1,18,6,16,1,9,10,1,10,1,6,2,0,27,0,0
contain,contain,1,3,2,1,0,5,5,4,1,2,1,1,2,0,0,0,0,0,0,21,0
outside of,outside of,2,5,0,3,6,2,4,2,4,3,5,2,0,2,0,0,0,1,0,0,6
