  Epoch    Pre R@50    Pre R@100
-------  ----------  -----------
      4     83.988       92.7992
      5     80.9505      90.9531
      6     79.6805      90.2069
      7     76.7086      88.7274
      8     77.4156      89.1726
      9     75.6612      87.2218
     10     76.486       87.9942
     11     74.2472      86.8683
     12     73.9853      86.266
     13     70.8562      84.3807
     14     71.0395      84.3807
     15     70.8039      84.3153
     16     68.6174      83.7785
     17     69.5208      83.5952
     18     68.8662      83.1762
     19     69.8612      83.4119
     20     66.6143      81.2778
     21     69.0888      83.6083
     22     68.2116      83.0846
